title,type,release_year,genres,platform,content_rating,imdb_rating,imdb_votes,country,tconst
Dick Johnson Is Dead,Movie,2020,Documentaries,Netflix,PG-13,7.4,7560.0,US,tt11394180
Blood & Water,TV Show,2021,International TV Shows | TV Dramas | TV Mysteries,Netflix,TV-MA,6.7,4705.0,CA,tt9839146
Ganglands,TV Show,2021,Crime TV Shows | International TV Shows | TV Action & Adventure,Netflix,TV-MA,7.2,4934.0,FR,tt13278100
Jailbirds New Orleans,TV Show,2021,Docuseries | Reality TV,Netflix,TV-MA,6.5,338.0,CA,tt15320436
Kota Factory,TV Show,2021,International TV Shows | Romantic TV Shows | TV Comedies,Netflix,TV-MA,,,,
Midnight Mass,TV Show,2021,TV Dramas | TV Horror | TV Mysteries,Netflix,TV-MA,7.7,163639.0,AU,tt10574558
My Little Pony: A New Generation,Movie,2021,Children & Family Movies,Netflix,PG,6.8,4977.0,ID,tt10101702
Sankofa,Movie,1993,Dramas | Independent Movies | International Movies,Netflix,TV-MA,7.0,884.0,FR,tt0108041
The Great British Baking Show,TV Show,2021,British TV Shows | Reality TV,Netflix,TV-14,,,,
The Starling,Movie,2021,Comedies | Dramas,Netflix,PG-13,6.4,16631.0,EG,tt5164438
"Vendetta: Truth, Lies and The Mafia",TV Show,2021,Crime TV Shows | Docuseries | International TV Shows,Netflix,TV-MA,6.7,373.0,NL,tt14216574
Bangkok Breaking,TV Show,2021,Crime TV Shows | International TV Shows | TV Action & Adventure,Netflix,TV-MA,5.9,461.0,GB,tt14202282
Je Suis Karl,Movie,2021,Dramas | International Movies,Netflix,TV-MA,5.6,1703.0,ES,tt9205538
Confessions of an Invisible Girl,Movie,2021,Children & Family Movies | Comedies,Netflix,TV-PG,5.3,1567.0,NL,tt15204288
Crime Stories: India Detectives,TV Show,2021,British TV Shows | Crime TV Shows | Docuseries,Netflix,TV-MA,7.0,1240.0,CA,tt14178956
Dear White People,TV Show,2021,TV Comedies | TV Dramas,Netflix,TV-MA,,,,
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,Documentaries | International Movies,Netflix,TV-MA,6.7,380.0,ES,tt11564588
Falsa identidad,TV Show,2020,Crime TV Shows | Spanish-Language TV Shows | TV Dramas,Netflix,TV-MA,,,,
Intrusion,Movie,2021,Thrillers,Netflix,TV-14,5.3,23904.0,EC,tt5563324
Jaguar,TV Show,2021,International TV Shows | Spanish-Language TV Shows | TV Action & Adventure,Netflix,TV-MA,5.8,2389.0,EC,tt11698590
Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,Crime TV Shows | Docuseries | International TV Shows,Netflix,TV-14,6.3,5260.0,TH,tt15287836
Resurrection: Ertugrul,TV Show,2018,International TV Shows | TV Action & Adventure | TV Dramas,Netflix,TV-14,,,,
Avvai Shanmughi,Movie,1996,Comedies | International Movies,Netflix,TV-PG,,,,
Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,Children & Family Movies,Netflix,TV-Y,6.6,67.0,AU,tt15296598
Jeans,Movie,1998,Comedies | International Movies | Romantic Movies,Netflix,TV-14,6.5,4293.0,CA,tt0151121
Love on the Spectrum,TV Show,2021,Docuseries | International TV Shows | Reality TV,Netflix,TV-14,,,,
Minsara Kanavu,Movie,1997,Comedies | International Movies | Music & Musicals,Netflix,TV-PG,6.7,1476.0,IN,tt0274789
Grown Ups,Movie,2010,Comedies,Netflix,PG-13,6.0,304690.0,EG,tt1375670
Dark Skies,Movie,2013,Horror Movies | Sci-Fi & Fantasy,Netflix,PG-13,6.3,83777.0,IN,tt2387433
Paranoia,Movie,2013,Thrillers,Netflix,PG-13,5.6,40138.0,CL,tt1413495
Ankahi Kahaniya,Movie,2021,Dramas | Independent Movies | International Movies,Netflix,TV-14,5.6,1055.0,PH,tt15250998
Chicago Party Aunt,TV Show,2021,TV Comedies,Netflix,TV-MA,5.7,2625.0,SG,tt15125616
Sex Education,TV Show,2020,British TV Shows | International TV Shows | TV Comedies,Netflix,TV-MA,8.2,387946.0,PH,tt7767422
Squid Game,TV Show,2021,International TV Shows | TV Dramas | TV Thrillers,Netflix,TV-MA,8.0,725918.0,KR,tt10919420
Tayo and Little Wizards,TV Show,2020,Kids' TV,Netflix,TV-Y7,,,,
The Father Who Moves Mountains,Movie,2021,Dramas | International Movies | Thrillers,Netflix,TV-MA,5.6,4464.0,DE,tt8886670
The Stronghold,Movie,2021,Action & Adventure | Dramas | International Movies,Netflix,TV-MA,6.9,15301.0,IT,tt10404944
Angry Birds,TV Show,2018,Kids' TV | TV Comedies,Netflix,TV-Y7,,,,
Birth of the Dragon,Movie,2017,Action & Adventure | Dramas,Netflix,PG-13,5.7,9262.0,IN,tt2720826
Chhota Bheem,TV Show,2021,Kids' TV,Netflix,TV-Y7,,,,
He-Man and the Masters of the Universe,TV Show,2021,Kids' TV | TV Sci-Fi & Fantasy,Netflix,TV-Y7,5.9,2387.0,IN,tt11465278
Jaws,Movie,1975,Action & Adventure | Classic Movies | Dramas,Netflix,PG,8.1,721356.0,TH,tt0073195
Jaws 2,Movie,1978,Dramas | Horror Movies | Thrillers,Netflix,PG,5.8,91141.0,IN,tt0077766
Jaws 3,Movie,1983,Action & Adventure | Horror Movies | Thrillers,Netflix,PG,3.7,52029.0,EC,tt0085750
Jaws: The Revenge,Movie,1987,Action & Adventure | Horror Movies | Thrillers,Netflix,PG-13,3.1,52870.0,GB,tt0093300
My Heroes Were Cowboys,Movie,2021,Documentaries,Netflix,PG,,,,
Safe House,Movie,2012,Action & Adventure,Netflix,R,6.7,246855.0,IN,tt1599348
The Smart Money Woman,TV Show,2020,International TV Shows | Romantic TV Shows | TV Comedies,Netflix,TV-MA,6.7,149.0,IT,tt12428002
Training Day,Movie,2001,Dramas | Thrillers,Netflix,R,7.8,506035.0,US,tt0139654
Castle and Castle,TV Show,2021,International TV Shows | TV Dramas,Netflix,TV-MA,,,,
Dharmakshetra,TV Show,2014,International TV Shows | TV Dramas | TV Sci-Fi & Fantasy,Netflix,TV-PG,8.5,443.0,AE,tt6803712
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002,Action & Adventure | Anime Features | International Movies,Netflix,TV-14,7.3,2500.0,FR,tt0366621
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003,Action & Adventure | Anime Features | International Movies,Netflix,TV-14,7.6,2550.0,EC,tt0396659
InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,7.1,2131.0,JP,tt0473658
InuYasha the Movie: Affections Touching Across Time,Movie,2001,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,7.2,3002.0,ES,tt0322645
Nailed It,TV Show,2021,Reality TV,Netflix,TV-PG,,,,
Naruto Shippuden the Movie: Blood Prison,Movie,2011,Action & Adventure | Anime Features | International Movies,Netflix,TV-14,7.1,6522.0,EC,tt1999167
Naruto Shippûden the Movie: Bonds,Movie,2008,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,,,,
Naruto Shippûden the Movie: The Will of Fire,Movie,2009,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,,,,
Naruto Shippuden: The Movie,Movie,2007,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,6.7,5503.0,EC,tt0988982
Naruto Shippuden: The Movie: The Lost Tower,Movie,2010,Action & Adventure | Anime Features | International Movies,Netflix,TV-14,6.8,5007.0,FR,tt1703048
Naruto the Movie 2: Legend of the Stone of Gelel,Movie,2005,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,6.3,5842.0,IN,tt0791188
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,2006,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,6.3,5437.0,ES,tt1071815
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,2004,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,6.6,9140.0,BR,tt0476680
Nightbooks,Movie,2021,Children & Family Movies,Netflix,TV-PG,5.8,11330.0,ID,tt10521144
Numberblocks,TV Show,2021,Kids' TV,Netflix,TV-Y,,,,
Raja Rasoi Aur Anya Kahaniyan,TV Show,2014,Docuseries | International TV Shows,Netflix,TV-G,8.9,415.0,AE,tt6953924
Saved by the Bell,TV Show,1994,Kids' TV | TV Comedies,Netflix,TV-PG,,,,
